cleared existing checkpoints

arm64  |  14 cores  |  torch cpu  |  mps available but unused: the net is too small to benefit
an untrained agent wins 0.12 of points against the fixed ladder
training up to 12,000,000 steps on 12 envs
a checkpoint is saved each time it reaches a new tier (Rookie, Amateur, Contender, Pro, Champion, Unbeatable);
strength is measured every 40,000 steps

    1,900,608 steps   training win rate 0.61   strength 0.625   next: Unbeatable at 0.70
    1,925,616 steps   training win rate 0.62   strength 0.625   next: Unbeatable at 0.70
    1,950,624 steps   training win rate 0.62   strength 0.595   next: Unbeatable at 0.70
    1,975,632 steps   training win rate 0.64   strength 0.649   next: Unbeatable at 0.70
    2,000,640 steps   training win rate 0.64   strength 0.649   next: Unbeatable at 0.70
    2,025,648 steps   training win rate 0.65   strength 0.566   next: Unbeatable at 0.70
    2,050,656 steps   training win rate 0.62   strength 0.679   next: Unbeatable at 0.70
    2,075,664 steps   training win rate 0.62   strength 0.679   next: Unbeatable at 0.70
    2,100,672 steps   training win rate 0.61   strength 0.643   next: Unbeatable at 0.70
    2,125,680 steps   training win rate 0.62   strength 0.643   next: Unbeatable at 0.70
    2,150,688 steps   training win rate 0.63   strength 0.696   next: Unbeatable at 0.70
    2,175,696 steps   training win rate 0.64   strength 0.595   next: Unbeatable at 0.70
    2,200,704 steps   training win rate 0.62   strength 0.595   next: Unbeatable at 0.70
    2,225,712 steps   training win rate 0.64   strength 0.559   next: Unbeatable at 0.70
    2,250,720 steps   training win rate 0.64   strength 0.506   next: Unbeatable at 0.70
    2,275,728 steps   training win rate 0.64   strength 0.506   next: Unbeatable at 0.70
    2,300,736 steps   training win rate 0.62   strength 0.589   next: Unbeatable at 0.70
    2,325,744 steps   training win rate 0.61   strength 0.589   next: Unbeatable at 0.70
    2,350,752 steps   training win rate 0.62   strength 0.548   next: Unbeatable at 0.70
    2,375,760 steps   training win rate 0.64   strength 0.589   next: Unbeatable at 0.70
    2,400,768 steps   training win rate 0.62   strength 0.589   next: Unbeatable at 0.70
    2,425,776 steps   training win rate 0.62   strength 0.643   next: Unbeatable at 0.70
    2,450,784 steps   training win rate 0.62   strength 0.637   next: Unbeatable at 0.70
    2,475,792 steps   training win rate 0.62   strength 0.637   next: Unbeatable at 0.70
    2,500,800 steps   training win rate 0.62   strength 0.637   next: Unbeatable at 0.70
    2,525,808 steps   training win rate 0.62   strength 0.637   next: Unbeatable at 0.70
    2,550,816 steps   training win rate 0.61   strength 0.673   next: Unbeatable at 0.70
    2,575,824 steps   training win rate 0.60   strength 0.601   next: Unbeatable at 0.70
    2,600,832 steps   training win rate 0.62   strength 0.601   next: Unbeatable at 0.70
    2,625,840 steps   training win rate 0.62   strength 0.673   next: Unbeatable at 0.70
    2,650,848 steps   training win rate 0.61   strength 0.619   next: Unbeatable at 0.70
    2,675,856 steps   training win rate 0.63   strength 0.619   next: Unbeatable at 0.70
    2,700,864 steps   training win rate 0.63   strength 0.595   next: Unbeatable at 0.70
    2,725,872 steps   training win rate 0.63   strength 0.595   next: Unbeatable at 0.70
    2,750,880 steps   training win rate 0.65   strength 0.649   next: Unbeatable at 0.70
    2,775,888 steps   training win rate 0.65   strength 0.649   next: Unbeatable at 0.70
    2,800,896 steps   training win rate 0.64   strength 0.649   next: Unbeatable at 0.70
    2,825,904 steps   training win rate 0.65   strength 0.613   next: Unbeatable at 0.70
    2,850,912 steps   training win rate 0.66   strength 0.613   next: Unbeatable at 0.70
    2,875,920 steps   training win rate 0.66   strength 0.613   next: Unbeatable at 0.70
    2,900,928 steps   training win rate 0.64   strength 0.518   next: Unbeatable at 0.70
    2,925,936 steps   training win rate 0.62   strength 0.518   next: Unbeatable at 0.70
    2,950,944 steps   training win rate 0.62   strength 0.613   next: Unbeatable at 0.70
    2,975,952 steps   training win rate 0.62   strength 0.631   next: Unbeatable at 0.70
    3,000,960 steps   training win rate 0.62   strength 0.631   next: Unbeatable at 0.70
    3,025,968 steps   training win rate 0.63   strength 0.589   next: Unbeatable at 0.70
    3,050,976 steps   training win rate 0.65   strength 0.595   next: Unbeatable at 0.70
    3,075,984 steps   training win rate 0.65   strength 0.595   next: Unbeatable at 0.70
    3,100,992 steps   training win rate 0.67   strength 0.637   next: Unbeatable at 0.70
    3,126,000 steps   training win rate 0.69   strength 0.637   next: Unbeatable at 0.70
    3,151,008 steps   training win rate 0.69   strength 0.625   next: Unbeatable at 0.70
    3,176,016 steps   training win rate 0.70   strength 0.589   next: Unbeatable at 0.70
    3,201,024 steps   training win rate 0.69   strength 0.589   next: Unbeatable at 0.70
    3,226,032 steps   training win rate 0.69   strength 0.595   next: Unbeatable at 0.70
    3,251,040 steps   training win rate 0.69   strength 0.679   next: Unbeatable at 0.70
    3,276,048 steps   training win rate 0.68   strength 0.679   next: Unbeatable at 0.70
    3,301,056 steps   training win rate 0.65   strength 0.637   next: Unbeatable at 0.70
    3,326,064 steps   training win rate 0.62   strength 0.637   next: Unbeatable at 0.70
    3,351,072 steps   training win rate 0.62   strength 0.607   next: Unbeatable at 0.70
    3,376,080 steps   training win rate 0.61   strength 0.595   next: Unbeatable at 0.70
    3,401,088 steps   training win rate 0.61   strength 0.595   next: Unbeatable at 0.70
    3,426,096 steps   training win rate 0.61   strength 0.607   next: Unbeatable at 0.70
    3,451,104 steps   training win rate 0.62   strength 0.524   next: Unbeatable at 0.70
    3,476,112 steps   training win rate 0.63   strength 0.524   next: Unbeatable at 0.70
    3,501,120 steps   training win rate 0.65   strength 0.577   next: Unbeatable at 0.70
    3,526,128 steps   training win rate 0.65   strength 0.577   next: Unbeatable at 0.70
    3,551,136 steps   training win rate 0.65   strength 0.571   next: Unbeatable at 0.70
    3,576,144 steps   training win rate 0.65   strength 0.577   next: Unbeatable at 0.70
    3,601,152 steps   training win rate 0.66   strength 0.577   next: Unbeatable at 0.70
    3,626,160 steps   training win rate 0.65   strength 0.655   next: Unbeatable at 0.70
    3,651,168 steps   training win rate 0.66   strength 0.566   next: Unbeatable at 0.70
    3,676,176 steps   training win rate 0.65   strength 0.566   next: Unbeatable at 0.70
    3,701,184 steps   training win rate 0.66   strength 0.601   next: Unbeatable at 0.70
    3,726,192 steps   training win rate 0.69   strength 0.601   next: Unbeatable at 0.70
    3,751,200 steps   training win rate 0.69   strength 0.607   next: Unbeatable at 0.70
    3,776,208 steps   training win rate 0.68   strength 0.566   next: Unbeatable at 0.70
    3,801,216 steps   training win rate 0.66   strength 0.566   next: Unbeatable at 0.70
    3,826,224 steps   training win rate 0.65   strength 0.595   next: Unbeatable at 0.70
    3,851,232 steps   training win rate 0.65   strength 0.637   next: Unbeatable at 0.70
    3,876,240 steps   training win rate 0.63   strength 0.637   next: Unbeatable at 0.70
    3,901,248 steps   training win rate 0.60   strength 0.559   next: Unbeatable at 0.70
    3,926,256 steps   training win rate 0.61   strength 0.559   next: Unbeatable at 0.70
    3,951,264 steps   training win rate 0.61   strength 0.655   next: Unbeatable at 0.70
    3,976,272 steps   training win rate 0.62   strength 0.524   next: Unbeatable at 0.70
    4,001,280 steps   training win rate 0.61   strength 0.524   next: Unbeatable at 0.70
    4,026,288 steps   training win rate 0.62   strength 0.625   next: Unbeatable at 0.70
    4,051,296 steps   training win rate 0.64   strength 0.613   next: Unbeatable at 0.70
    4,076,304 steps   training win rate 0.65   strength 0.613   next: Unbeatable at 0.70
    4,101,312 steps   training win rate 0.67   strength 0.601   next: Unbeatable at 0.70
    4,126,320 steps   training win rate 0.67   strength 0.601   next: Unbeatable at 0.70
    4,151,328 steps   training win rate 0.68   strength 0.607   next: Unbeatable at 0.70
    4,176,336 steps   training win rate 0.70   strength 0.559   next: Unbeatable at 0.70
    4,201,344 steps   training win rate 0.70   strength 0.559   next: Unbeatable at 0.70
    4,226,352 steps   training win rate 0.69   strength 0.566   next: Unbeatable at 0.70
    4,251,360 steps   training win rate 0.68   strength 0.631   next: Unbeatable at 0.70
    4,276,368 steps   training win rate 0.69   strength 0.631   next: Unbeatable at 0.70
    4,301,376 steps   training win rate 0.69   strength 0.566   next: Unbeatable at 0.70
    4,326,384 steps   training win rate 0.69   strength 0.566   next: Unbeatable at 0.70
    4,351,392 steps   training win rate 0.67   strength 0.595   next: Unbeatable at 0.70
    4,376,400 steps   training win rate 0.66   strength 0.619   next: Unbeatable at 0.70
    4,401,408 steps   training win rate 0.67   strength 0.619   next: Unbeatable at 0.70
    4,426,416 steps   training win rate 0.70   strength 0.696   next: Unbeatable at 0.70
    4,451,424 steps   training win rate 0.70   strength 0.643   next: Unbeatable at 0.70
    4,476,432 steps   training win rate 0.69   strength 0.643   next: Unbeatable at 0.70
    Unbeatable  reached @4,490,904 steps  ->  agent_gen_0006   win rate 0.708  worst 0.250

done in 972s
  agent_gen_0001     Rookie      win rate 0.125
  agent_gen_0002     Amateur     win rate 0.256
  agent_gen_0003     Contender   win rate 0.434
  agent_gen_0004     Pro         win rate 0.559
  agent_gen_0005     Champion    win rate 0.643
  agent_gen_0006     Unbeatable  win rate 0.708

play it:  python play.py --model agent_gen_0006
